,Unnamed: 0,phy,data_rate,data_rate_smooth,channel,frequency,signal_dbm,signal_smooth,noise_dbm,snr,tx_addr,timestamp,duration,ifs,start_tsf,end_tsf
2,2,5,12,12.00000000000003,149,5745,-66,-65.79953379953396,-96,30,3e:d1:9b:c7:a4:de,202819411,272,15121.0,202819139,202819411
25,25,5,12,12.00000000000003,149,5745,-66,-65.68764568764585,-96,30,3e:d1:9b:c7:a4:de,202940814,544,-129.0,202940270,202940814
28,28,5,12,12.00000000000003,149,5745,-65,-65.45920745920763,-96,31,3e:d1:9b:c7:a4:de,202949305,272,1707.0,202949033,202949305
50,50,5,12,12.00000000000003,149,5745,-65,-65.16083916083933,-96,31,3e:d1:9b:c7:a4:de,203064030,272,1977.0,203063758,203064030
55,55,5,12,12.00000000000003,149,5745,-65,-64.83916083916101,-96,31,3e:d1:9b:c7:a4:de,203072073,544,936.0,203071529,203072073
65,65,5,12,12.00000000000003,149,5745,-65,-64.54079254079271,-96,31,3e:d1:9b:c7:a4:de,203156590,272,8211.0,203156318,203156590
78,78,5,12,12.00000000000003,149,5745,-64,-64.2284382284384,-96,32,3e:d1:9b:c7:a4:de,203273489,272,8.0,203273217,203273489
87,87,5,12,12.00000000000003,149,5745,-64,-64.05361305361322,-96,32,3e:d1:9b:c7:a4:de,203390506,272,4274.0,203390234,203390506
105,105,5,12,12.00000000000003,149,5745,-64,-64.01631701631719,-96,32,3e:d1:9b:c7:a4:de,203522812,272,1180.0,203522540,203522812
109,109,5,12,12.00000000000003,149,5745,-64,-64.17715617715635,-96,32,3e:d1:9b:c7:a4:de,203529471,544,251.0,203528927,203529471
127,127,5,12,12.00000000000003,149,5745,-64,-64.5128205128207,-96,32,3e:d1:9b:c7:a4:de,203594539,544,298.0,203593995,203594539
132,132,5,12,12.00000000000003,149,5745,-65,-65.00000000000017,-96,31,3e:d1:9b:c7:a4:de,203622116,272,52.0,203621844,203622116
140,140,5,12,12.00000000000003,149,5745,-66,-65.40326340326358,-96,30,3e:d1:9b:c7:a4:de,203711530,544,9076.0,203710986,203711530
142,142,5,12,12.00000000000003,149,5745,-66,-65.75990675990694,-96,30,3e:d1:9b:c7:a4:de,203735782,272,11822.0,203735510,203735782
